# exit
#x y z t Bx By Bz Ex Ey Ez
0 0 224 0 1.29904e-17 0.0106785 0.000143004 0 0 0 
0 0 225 0 1.26845e-17 0.0108255 0.000139794 0 0 0 
0 0 226 0 1.23787e-17 0.0109725 0.000136584 0 0 0 
0 0 227 0 1.20728e-17 0.0111194 0.000133374 0 0 0 
0 0 228 0 1.1767e-17 0.0112664 0.000130164 0 0 0 
0 0 229 0 1.14611e-17 0.0114133 0.000126954 0 0 0 
0 0 230 0 1.11553e-17 0.0115603 0.000123744 0 0 0 
0 0 231 0 1.01221e-17 0.0117493 0.000134006 0 0 0 
0 0 232 0 9.0889e-18 0.0119382 0.000144268 0 0 0 
0 0 233 0 8.05572e-18 0.0121272 0.00015453 0 0 0 
0 0 234 0 7.02253e-18 0.0123161 0.000164791 0 0 0 
0 0 235 0 5.98935e-18 0.0125051 0.000175053 0 0 0 
0 0 236 0 4.95616e-18 0.0126941 0.000185315 0 0 0 
0 0 237 0 3.92297e-18 0.012883 0.000195577 0 0 0 
0 0 238 0 2.88979e-18 0.013072 0.000205839 0 0 0 
0 0 239 0 1.8566e-18 0.0132609 0.000216101 0 0 0 
0 0 240 0 8.23418e-19 0.0134499 0.000226363 0 0 0 
0 0 241 0 4.22727e-18 0.0136431 0.000215177 0 0 0 
0 0 242 0 7.63112e-18 0.0138363 0.000203992 0 0 0 
0 0 243 0 1.1035e-17 0.0140295 0.000192807 0 0 0 
0 0 244 0 1.44388e-17 0.0142227 0.000181622 0 0 0 
0 0 245 0 1.78427e-17 0.0144159 0.000170436 0 0 0 
0 0 246 0 2.12465e-17 0.0146091 0.000159251 0 0 0 
0 0 247 0 2.46504e-17 0.0148023 0.000148066 0 0 0 
0 0 248 0 2.80542e-17 0.0149956 0.00013688 0 0 0 
0 0 249 0 3.14581e-17 0.0151888 0.000125695 0 0 0 
0 0 250 0 3.4862e-17 0.015382 0.00011451 0 0 0 
0 0 251 0 3.49374e-17 0.0156183 0.000121927 0 0 0 
0 0 252 0 3.50129e-17 0.0158547 0.000129345 0 0 0 
0 0 253 0 3.50883e-17 0.016091 0.000136763 0 0 0 
0 0 254 0 3.51638e-17 0.0163274 0.00014418 0 0 0 
0 0 255 0 3.52393e-17 0.0165637 0.000151598 0 0 0 
0 0 256 0 3.53147e-17 0.0168001 0.000159016 0 0 0 
